,event_trading,event_trading,overnight_trading,overnight_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading
,super_bowl,super_bowl,short_term_reversal,short_term_reversal,buy_when_yields_are_low,buy_when_yields_are_low,pay_day_strategy,pay_day_strategy,santa_claus_strategy,santa_claus_strategy,september_bear,september_bear,tax_day_strategy,tax_day_strategy,turn_around_tuesday_strategy,turn_around_tuesday_strategy
,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L,VUSA.L,CNX1.L
Date,,,,,,,,,,,,,,,,
2010-09-03,,,,,,-0.007413566839187591,,,,,,,,,,
2010-09-06,,,,,,,,,,,,,,,,
2010-09-07,,,,,,0.0032492866411348853,,,,,,,,,,
2010-09-08,,,,,,0.003272902716052073,,,,,,,,,,
2010-09-09,,,,,,,,,,,,,,,,
2010-09-10,,,,,,,,,,,,,,,,
2010-09-13,,,,,,,,,,,,,,,,
2010-09-14,,,,,,,,,,,,,,,,
2010-09-15,,,,,,,,,,,,,,,,
2010-09-16,,,,,,,,,,,,,,,,
2010-09-17,,,,,,,,,,,,-0.01711305855837919,,,,
2010-09-20,,,,,,,,,,,,0.00016103317246141113,,,,
2010-09-21,,,,,,,,,,,,0.003182289787856951,,,,
2010-09-22,,,,,,,,,,,,0.0003144658490927821,,,,
2010-09-23,,,,0.02098480341242559,,,,,,,,-0.02098480341242559,,,,
2010-09-24,,,,,,0.0007078554281447769,,-0.006362357043358191,,,,,,,,
2010-09-27,,,,,,-0.0016754493555724004,,0.0007078554281447769,,,,,,,,0.0007078554281447769
2010-09-28,,,,,,-0.005494216461515711,,-0.0016754493555724004,,,,,,,,
2010-09-29,,,,,,-0.0007266294020527031,,-0.005494216461515711,,,,,,,,
2010-09-30,,,,,,-0.010552130973685903,,-0.0007266294020527031,,,,,,,,
2010-10-01,,,,-0.010552130973685903,,0.024907861869771786,,-0.010552130973685903,,,,,,,,
2010-10-04,,,,0.024907861869771786,,-0.008935822527878612,,,,,,,,,,0.024907861869771786
2010-10-05,,,,,,0.0025360935599456624,,,,,,,,,,
2010-10-06,,,,,,0.007636876790187763,,,,,,,,,,
2010-10-07,,,,,,-5.231932097737868e-05,,,,,,,,,,
2010-10-08,,,,,,0.0071641955679837555,,,,,,,,,,
2010-10-11,,,,,,,,,,,,,,,,0.0071641955679837555
2010-10-12,,,,,,-0.001339601903676102,,,,,,,,,,
2010-10-13,,,,,,0.02100470764415352,,,,,,,,,,
2010-10-14,,,,,,0.0030333323303406434,,,,,,,,,,
2010-10-15,,,,,,-0.01628450179187757,,,,,,,,,,
2010-10-18,,,,,,0.0077234710475808654,,,,,,,,,,
2010-10-19,,,,,,0.0020719033068010706,,,,,,,,,,
2010-10-20,,,,,,0.006734309091698032,,,,,,,,,,
2010-10-21,,,,,,0.004409395262325866,,,,,,,,,,
2010-10-22,,,,,,0.00258830500923235,,,,,,,,,,
2010-10-25,,,,,,0.0032291907804795628,,0.00258830500923235,,,,,,,,
2010-10-26,,,,,,,,0.0032291907804795628,,,,,,,,
2010-10-27,,,,,,,,0.001851900871581158,,,,,,,,
2010-10-28,,,,,,,,-0.0024821644675796506,,,,,,,,
2010-10-29,,,,,,,,0.001840617750525464,,,,,,,,
2010-11-01,,,,,,,,0.010933576848650928,,,,,,,,
2010-11-02,,,,,,,,,,,,,,,,
