,event_trading,event_trading,overnight_trading,overnight_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading,seasonal_trading
,super_bowl,super_bowl,short_term_reversal,short_term_reversal,buy_when_yields_are_low,buy_when_yields_are_low,pay_day_strategy,pay_day_strategy,santa_claus_strategy,santa_claus_strategy,september_bear,september_bear,tax_day_strategy,tax_day_strategy,turn_around_tuesday_strategy,turn_around_tuesday_strategy
,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US,SPY.US,QQQ.US
Date,,,,,,,,,,,,,,,,
2010-03-15,,,,,,,,,,,,,,,,0.006349771384177805
2010-03-16,,,,,,,,,,,,,,,,0.0027342060166872795
2010-03-17,,,,,,,,,,,,,,,,0.0033560006387842733
2010-03-18,,,,,,,,,,,,,,,,-0.006043401313679753
2010-03-19,,,,,,,,,,,,,,,,0.009053299267944848
2010-03-22,,,,,0.007011600231575654,0.0069386477462436424,,,,,,,,,,
2010-03-23,,,,,-0.004854782386508716,-0.004818403191544363,,,,,,,,,,
2010-03-24,,,,,-0.0016261554262239075,-0.001457725947521915,,,,,,,,,,
2010-03-25,,,,,,,-0.0005818924831485495,0.0010415088622934832,,,,,,,,
2010-03-26,,,0.006330308280866781,,,,0.006330098468198431,0.004793049959328943,,,,,,,,
